Xloc,Yloc,Landuse,Rock,Cd,Co,Cr,Cu,Ni,Pb,Zn
238.6,307.7,3,3,1.74,9.32,38.32,25.72,21.32,77.36,92.56
254.4,197.2,2,2,1.335,10.0,40.2,24.76,29.72,77.88,73.56
280.7,334.7,2,3,1.61,10.6,47.0,8.88,21.4,30.8,64.8
430.8,193.3,3,2,2.15,11.92,43.52,22.7,29.72,56.4,90.0
438.3,108.1,3,5,1.565,16.32,38.52,34.32,26.2,66.4,88.4
324.4,451.9,3,5,1.145,3.508,40.4,31.28,22.04,72.4,75.2
392.5,378.5,3,5,0.894,15.08,30.52,27.44,21.76,60.0,72.4
211.6,349.8,3,1,0.525,4.2,25.4,66.12,9.72,141.0,72.08
184.2,98.9,3,1,0.24,4.52,27.96,22.32,11.32,52.4,56.4
170.9,184.3,3,3,0.625,12.08,33.32,18.72,16.88,41.6,75.6
380.0,457.8,3,1,3.873,9.84,46.0,22.24,21.64,46.0,143.2
269.9,119.9,1,1,1.425,7.56,40.8,8.76,15.72,56.4,66.8
303.3,438.39999999999986,3,5,0.455,2.3680000000000003,19.24,21.36,7.08,38.36,37.88
423.2000000000001,158.8,1,2,1.025,8.84,28.32,5.88,17.4,52.8,47.6
475.0,136.9,3,2,0.775,11.96,35.6,17.6,23.76,32.92,70.8
234.1,413.5,3,1,0.62,5.32,31.0,18.52,10.8,42.0,46.8
282.7,366.7,3,5,0.4,4.68,20.52,3.96,6.68,21.48,25.2
304.3,469.2000000000001,3,1,0.625,3.536,25.2,8.24,11.32,29.92,31.32
168.7,117.40000000000002,3,1,0.355,3.64,18.4,21.56,6.64,46.8,39.56
223.5,238.6,3,5,1.585,12.44,40.56,40.88,25.08,88.68,114.28
312.2,169.5,3,2,1.885,12.92,44.0,35.92,34.72,72.88,120.28
221.9,277.4,2,2,1.3,13.04,32.48,8.8,31.52,56.52,71.76
318.5,209.2,3,2,1.575,11.2,35.72,22.12,35.0,43.68,90.68
351.4,511.9,2,1,4.191,9.28,52.0,15.48,21.76,33.36,145.6
445.9,262.4,1,2,1.485,6.84,19.0,11.16,15.84,34.64,82.8
433.9,147.3,3,5,0.915,10.8,32.72,39.8,18.6,64.8,86.0
492.0,141.7,3,2,0.705,8.56,30.28,15.76,21.96,39.52,66.4
364.8,378.0,3,2,0.62,14.16,28.56,48.8,24.44,63.2,78.0
291.6,491.6,1,1,0.885,6.28,27.92,4.52,13.88,37.16,46.8
312.7,169.1,3,2,1.96,13.4,45.2,47.12,35.12,93.92,123.84
344.1,471.89999999999986,2,5,3.155,9.28,62.4,48.8,24.28,55.6,151.6
333.6,461.30000000000007,3,5,1.28,5.92,38.52,24.96,23.28,49.2,81.6
364.9,267.4,1,2,1.785,7.44,23.72,9.652,17.72,58.4,58.0
387.5,492.4,3,5,1.895,11.48,52.0,25.28,26.72,35.6,141.6
261.2,411.4,3,1,0.57,4.88,27.32,33.8,7.44,58.4,47.6
234.0,414.1,3,1,0.54,5.48,35.72,17.4,10.6,36.88,53.2
381.1,131.8,3,2,0.75,12.6,36.2,16.4,26.6,39.8,80.8
366.1,378.8,3,2,0.875,14.64,28.88,65.2,20.8,69.6,76.4
434.0,373.6,2,3,2.818,11.24,35.04,29.12,21.96,46.0,80.8
297.2,98.8,2,3,3.805,9.16,67.04,112.04,28.88,229.56,219.32
228.6,306.8,3,3,0.605,9.68,27.32,28.8,12.8,56.6,67.16
181.3,211.6,3,3,1.003,11.32,33.48,21.2,20.56,48.8,110.0
337.9,430.8,3,5,1.9,8.52,46.4,10.28,24.8,36.44,83.6
196.5,280.7,3,3,0.895,12.6,41.6,60.72,24.16,89.68,102.44
355.9,400.89999999999986,2,3,4.02,6.16,60.8,21.08,21.96,52.0,101.6
226.7,418.9,3,1,0.56,6.64,35.12,12.72,11.12,39.64,57.2
296.5,100.2,2,3,1.39,10.36,45.6,57.2,24.6,129.2,149.2
312.0,146.9,1,3,1.91,2.12,31.12,11.6,8.0,69.16,50.4
345.4,465.4,2,5,1.07,7.8,38.24,10.88,19.92,29.88,70.8
107.1,156.7,2,3,0.795,9.96,29.08,9.92,15.28,37.48,65.6
357.3,354.2,3,5,0.55,9.56,26.6,50.4,16.0,77.2,76.0
